,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url
298,lF99B8T1C_U,Chris Washington,Linsen Curry 🍛,,2022-03-08T09:32:48Z,176934,9014,139,,PT1M,hd,https://i.ytimg.com/vi/lF99B8T1C_U/hqdefault.jpg
299,vf0god0LtP8,SWR Handwerkskunst,Wie man Pizza macht | SWR Handwerkskunst,"['pizza', 'pizza selber machen', 'pizza weltmeister', 'pizza weltmeisterschaft', 'pizza weltmeister ingelheim', 'ingelheim', 'ingelheim pizza', 'ingelheim pizza weltmeister', 'pizza backen', 'pizza rezept', 'francesco ialazzo', 'francesco ialazzo pizza', 'francesco ialazzo pizza rezept', 'pizza napoletana', 'Handwerkskunst', 'Handwerk', 'neapel', 'neapel pizza', 'Handwerksmeister', 'Herstellen', 'Werkzeug', 'Howto', 'Handwerker', 'DIY', 'neapel pizzateig rezept']",2022-09-27T15:00:42Z,2260889,37573,2075,,PT22M58S,hd,https://i.ytimg.com/vi/vf0god0LtP8/hqdefault.jpg
300,FBDGqk5E9vc,SKIL Tools,SKIL Tools,"['skil', 'skil cordless', 'skilsaw tools', 'skil tools']",2021-04-06T18:49:44Z,80897142,76,9,,PT31S,hd,https://i.ytimg.com/vi/FBDGqk5E9vc/hqdefault.jpg
301,72vqcs1waCQ,Chefkoch,Apfelkuchen mit Streuseln | Chefkoch.de,"['rezept', 'rezepte', 'anleitung', 'essens zubereitung', 'selber machen', 'selbst machen', 'essen', 'gericht', 'kochen', 'zubereitung', 'chefkoch', 'chefkoch.de', 'ChefkochDe', 'ChefkochDeTV', 'chefkoch rezepte', 'lecker', 'leckere rezepte', 'leckeres essen', 'Apple Pie (Food)', 'Streuselkuchen (Dish)', 'Cooking (Interest)', 'Kuchen (Dish)', 'Backen', 'Backschule', 'Rikes Backschule', 'Apfel', 'Apfelkuchen', 'Streusel', 'Streuselkuchen', 'Obst', 'Obstkuchen', 'gedeckter Apfelkuchen']",2015-02-19T10:52:07Z,245216,2307,112,,PT5M41S,hd,https://i.ytimg.com/vi/72vqcs1waCQ/hqdefault.jpg
302,sYfDV209V14,Epicurious,How To Butcher Every Bird | Method Mastery | Epicurious,"['break down chicken', 'butcher a duck', 'butcher goose', 'butcher quail', 'butcher turkey', 'butcher whole chicken', 'butchering', 'carve a turkey', 'cook pheasant', 'cook quail', 'cook squab', 'cornish game hen', 'cut chicken into pieces', 'cut turkey into pieces', 'cut up a chicken', 'cut whole chicken', 'cuts of meat', 'epi', 'epi method mastery', 'epicurious', 'epicurious method mastery', 'guinea hen', 'how to butcher chicken', 'how to butcher every bird', 'how to cut chicken', 'how to cut up a chicken', 'method mastery']",2021-07-21T16:00:10Z,6475725,102902,4185,,PT28M31S,hd,https://i.ytimg.com/vi/sYfDV209V14/hqdefault.jpg
303,gdKSUlPdvyc,Rajshri Food,Haryana Aloo Pulao Recipe | Quick & Simple Rice Recipe | Masala Trails With Smita Deo,"['Haryana Aloo pulao', 'Haryana Aloo pulao recipe', 'how to make Haryana Aloo pulao', 'haryali pulao', 'haryali pulao recipe', 'how to make haryali pulao', 'masala bhat', 'masoor pulao', 'brwon rice pulao', 'tawa pulao', 'corn pulao', 'kathal pulao', 'green peas pulao', 'mushroom pulao', 'pulao platter', 'paneer pulao', 'kashmiri pulao', 'tiranga pulao', 'recipe in hindi', 'curry recipe', 'vegetarian recipe', 'veg recipe', 'main course recipe', 'rajshri food', 'Masala Trails With Smita Deo']",2016-12-08T09:26:59Z,887956,11161,250,,PT5M17S,hd,https://i.ytimg.com/vi/gdKSUlPdvyc/hqdefault.jpg
304,2hMmWrmlWWg,Tasty,How To Make The Best Bombay Biryani,"['india', 'indian', 'iran', 'iranian', 'cuisine', 'cultural', 'asian', 'middle east', 'southeast asian', 'chicken', 'rice', 'saffron', 'comfort food', 'recipe', 'best', 'best ever', 'cooking', 'ghee', 'biryani', 'traditional']",2022-05-27T17:00:01Z,195901,4644,371,,PT7M7S,hd,https://i.ytimg.com/vi/2hMmWrmlWWg/hqdefault.jpg
305,T8Sgoem_Jvk,SWR Handwerkskunst,Wie man Rotwein macht | SWR Handwerkskunst,"['Handwerkskunst', 'Handwerk', 'Handwerkskammer', 'SWR', 'Werkzeug', 'DIY', 'Handwerker', 'Bauen', 'Basteln', 'Herstellen', 'Produzieren', 'Howto', 'Facharbeiter', 'Fachkräfte', 'Beruf', 'Berufung', 'SWR Fernsehen', 'Handwerksmeister', 'Meister', 'Wein', 'Rotwein', 'Winzer', 'Weingut', 'Dernau', 'Ahr', 'Weintraube', 'Weinlese', 'Spätburgunder', 'Weinflasche', 'Weinfass', 'Wie macht man Wein', 'Weingut Meyer-Näkel', 'Meike Näkel', 'wie man einen rotwein macht', 'rotwein herstellen anleitung', 'rotwein schritt für schritt', 'wein selbst herstellen', 'wein selber machen', 'flutwein 2021']",2021-08-10T15:00:12Z,649604,7694,410,,PT45M,hd,https://i.ytimg.com/vi/T8Sgoem_Jvk/hqdefault.jpg
306,GSn9cZFl33Q,Chef Ranveer Brar,Dhaba Mutton curry | ढाबा मीट । कुकर में बनाएँ ढाबा मटन करी | Simplest mutton recipe | Chef Ranveer,"['Dhaba mutton curry', 'dhaba style mutton', 'dhaba meat', 'कुकर ढाबा मटन करी', 'मटन करी', 'मटन मसाला', 'ढाबा मटन मसाला', 'mutton recipe', 'mutton biryani', 'mutton masala', 'cooker mutton curry', 'mutton kulambu', 'military hotel mutton curry', 'mutton curry ranveer brar', 'dhaba meat recipe', 'dhaba meat chawal', 'mutton pulao', 'dhaba style meat', 'balti meat dhaba', 'ashok meat dhaba', 'dhaba style saag meat', 'mutton curry kaise banate hain', 'dhaba mutton', 'dhaba mutton biryani', 'mutton keema', 'dhaba gosht']",2022-02-11T10:45:00Z,5071328,,3120,,PT14M40S,hd,https://i.ytimg.com/vi/GSn9cZFl33Q/hqdefault.jpg
307,BFRL3-0rGs0,Le Creuset Deutschland,Johann Lafer‘s Geschmorte Gänsekeule,,2021-11-05T12:49:32Z,186751,1858,0,,PT15M43S,hd,https://i.ytimg.com/vi/BFRL3-0rGs0/hqdefault.jpg
308,G15GwvLOQMI,BakeClub,Bienenstich | BakeClub,"['backen', 'bakeclub', 'bake club', 'rezept', 'backrezept', 'rezepte', 'backrezepte', 'kuchen backen', 'kuchen', 'bienenstich', 'bienenstich rezept', 'bienenstich backen', 'bienenstich selber machen', 'bienenstich kuchen', 'rezept bienenstich', 'schneller bienensicht', 'einfacher bienenstich', 'schneller bienenstich', 'blechkuchen', 'blechkuchen rezept', 'omas bienenstich', 'bienenstich rezept blech', 'bienenstich rezept einfach', 'bienenstich einfach', 'bienenstich schnell', 'blechkuchen backen', 'blechkuchen einfach', 'doros backstube']",2015-10-14T15:00:01Z,95687,1722,112,,PT6M11S,hd,https://i.ytimg.com/vi/G15GwvLOQMI/hqdefault.jpg
309,cYhCPgyrPX0,Chef Ranveer Brar,Restaurant Style Tomato soup | टमाटर का सूप | Easy Tomato Soup | Chef Ranveer Brar,"['tomato soup recipe', 'tomato soup banane ki vidhi', 'tomato soup', 'easy tomato soup', 'how to make tomato soup', 'soup recipe', 'tomato soup indian style', 'soup', 'tomato', 'creamy tomato soup', 'tomato soup recipe in hindi', 'restaurant style tomato soup', 'टमाटर का सूप बनाने की विधि', 'cream of tomato soup', 'टमाटर का सूप', 'tamatar soup banane ki vidhi', 'tamatar soup', 'homemade tomato soup recipe', 'tamatar shorba recipe', 'टमाटर सूप की विधि', 'रेस्टौरंट जैसा', 'tamatar', 'soup croutons', 'tomato soup garlic bread']",2020-03-17T04:30:02Z,5430840,,3047,,PT11M14S,hd,https://i.ytimg.com/vi/cYhCPgyrPX0/hqdefault.jpg
