Unnamed: 0,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url,hue,saturation,lightness,face_count
164,9IWm2V3t_do,Serie A,LECCE-LAZIO 1-2 | HIGHLIGHTS | Marusic Bags Late Win for Lazio | Serie A 2024/25,"['Serie A', 'Dybala', 'highlights', 'Juventus', 'AC Milan', 'Inter Milan', 'Napoli', 'Roma', 'goals', 'full highlights', 'watch', 'partita', 'migliori gol', 'gol del mese', 'calcio', 'Italia', 'lukaku', 'Lazio', 'highlights serie a', 'highlights inter', 'highlights juventus', 'highlights milan', 'highlights juve', 'highlights roma', 'lautaro', 'lautaro martinez', 'inter', 'juventus', 'juve', 'liga italiana', 'liga italia', 'lega italiana', 'lega italia', 'lecce-lazio 1-2', 'lecce-lazio highlights', 'castellanos', 'marusic']",2024-12-21T22:38:14Z,183397,3999.0,129.0,,PT2M29S,hd,https://i.ytimg.com/vi/9IWm2V3t_do/hqdefault.jpg,12.28317642211914,0.2899566888809204,0.2558586597442627,0.0
165,1tibAdo-Dg0,Explainers,🤯Virat Kohli Furious argument With Australian Media 🤧 #shorts,,2024-12-21T12:46:03Z,259206,38597.0,238.0,,PT40S,hd,https://i.ytimg.com/vi/1tibAdo-Dg0/hqdefault.jpg,264.8402709960937,0.3084903061389923,0.3130852282047272,1.0
166,Zs30bDhIVcM,Major League Soccer,Pyrotechnics and Tim Howard,"['goals', 'gaols', 'highlights', 'soccer', 'mls', 'skills', 'football', 'futbol', 'goal', 'gaol']",2016-07-21T18:21:36Z,42436,111.0,19.0,,PT5M5S,hd,https://i.ytimg.com/vi/Zs30bDhIVcM/hqdefault.jpg,263.6983642578125,0.3822488188743591,0.2848019301891327,0.0
167,7lEBrnpTs4M,NBA on ESPN,"If Klay Thompson and Kevin Durant stay, the Warriors still have big questions to answer | The Jump","['klay thompson', 'klay thompson injury', 'klay thompson knee injury', 'klay thompson knee', 'golden state warriors', 'warriors', 'klay thompson mix', 'warriors vs raptors game 6', 'warriors raptors game 6', 'golden state warriors vs toronto raptors game 6', 'warriors raptors', 'golden state warriors vs toronto raptors', 'warriors vs raptors', 'kevin durant', '2019 nba free agency', 'stephen curry', 'the jump', 'the jump nba', 'the jump today', 'rachel nichols', 'kendrick perkins', 'brian windhorst', 'espn', 'espn live']",2019-06-14T22:45:02Z,269981,1853.0,561.0,,PT3M3S,hd,https://i.ytimg.com/vi/7lEBrnpTs4M/hqdefault.jpg,349.841552734375,0.2644505798816681,0.2698673009872436,2.0
168,soJREB6gAEY,Australian Open TV,BALLKID v MOTH! 😂,"['Tennis', 'Australian Open tennis', 'Australian Open', 'Australian Open TV', 'Australian Open 2022', '2022 Australian Open', '2022 tennis', 'Melbourne', 'Grand Slam', 'Australian Open 2022 tennis', 'Aus Open', 'Aus Open 2022', 'AO22', 'MOTH', 'BALLKID', 'ballkid australian open', 'moth on the court', 'moth tennis', 'moth Australian Open', 'moth Emma Raducanu', 'Emma Raducunu Australian Open', 'Emma Raducanu moth', 'Emma Raducanu v Sloane Stephens', 'Emma Raducanu ballkid', 'Emma Raducanu', 'Raducanu', 'Raducanu and moth', '#Shorts']",2022-01-20T16:37:51Z,231347164,2770299.0,6010.0,,PT14S,hd,https://i.ytimg.com/vi/soJREB6gAEY/hqdefault.jpg,356.9721984863281,0.2190319299697876,0.2206277400255203,0.0
169,-ENN4adPhfA,NBA on TNT,2018 NBA Awards - Dunk of the Year Nominees,"['NBA', 'on', 'TNT']",2018-05-14T20:09:59Z,953265,9458.0,1772.0,,PT1M23S,hd,https://i.ytimg.com/vi/-ENN4adPhfA/hqdefault.jpg,214.7238311767578,0.6230006814002991,0.2634528875350952,0.0
170,aioQwJZUIN4,ESPN,DeMarcus Cousins is dunking again: How scary is this for rest of NBA? | The Jump | ESPN,"['demarcus cousins dunk', 'demarcus cousins dunking', 'demarcus cousins warriors', 'boogie cousins dunk', 'boogie cousins dunking', 'boogie cousins warriors', 'boogie cousins reaction', 'demarcus cousins reaction', 'demarcus cousins', 'boogie cousins', 'boogie', 'warriors 2018/19', 'golden state warriors', 'warriors', 'chiney ogwumike', 'chiney ogwumike the jump', 'chiney ogwumike espn', 'rachel nichols', 'rachel nichols espn', 'the jump', 'the jump espn', 'ian begley', 'bobby marks', 'nba', 'espn', 'espn live', 'nba on espn']",2018-09-06T21:50:22Z,454279,3020.0,991.0,,PT3M32S,hd,https://i.ytimg.com/vi/aioQwJZUIN4/hqdefault.jpg,315.3356018066406,0.3464812636375427,0.2442630529403686,2.0
171,I75u2qweAQ4,Red Bull,Trainer der Zukunft Matt McIlvane: Liebt und lebt Eishockey | Breaking the Ice,"['red bull', 'redbull', 'action sports', 'extreme sports', 'Matt McIlvane', 'Trainer der Zukunft Matt McIlvane', 'junger Coach der Red Bulls', 'Leben zwischen Eishockey & Familie', 'Der Schützling von Head-Coach Don Jackson', 'Eishockey-Karriere', 'Red Bull München', 'DEL Meisterschaft', 'ehc red bull münchen', 'ehc münchen', 'icehockey', 'eishockey', 'DEL 2019', 'DEL-Meister', 'DEL-Meister 2019', 'Breaking the Ice', 'Breaking the Ice Doku', 'Breaking the Ice Episode 3', 'EHC Red Bull Munich', 'Documentary', 'Coach', 'Future']",2019-04-05T10:00:03Z,240471,208.0,6.0,,PT14M32S,hd,https://i.ytimg.com/vi/I75u2qweAQ4/hqdefault.jpg,22.019672393798828,0.2535066902637481,0.3667089939117431,0.0
172,51gPoVAdTsY,팀일루션 노성율,인간 바베큐⁉️😱 Human BBQ,,2024-12-20T12:00:07Z,1111997,53611.0,102.0,,PT38S,hd,https://i.ytimg.com/vi/51gPoVAdTsY/hqdefault.jpg,271.466796875,0.2892735600471496,0.3070549070835113,0.0
173,vqMvbCD2we8,First Things First,"LeBron feels ‘really good’ about new Lakers, Jokić leads MVP Straw Poll | NBA | FIRST THINGS FIRST","['FTF', 'FIRST THINGS FIRST', 'Nick Wright', 'Chris Broussard', 'Kevin Wildes', 'NBA', 'Basketball', 'Lakers', 'Nuggets', 'LeBron James', 'Nikola Jokić', 'NBA MVP', 'Russell Westbrook', 'Los Angeles Lakers', 'Joker', 'LeBron', 'Westbrook', 'Denver Nuggets', 'la lakers', 'lebron lakers', 'anthony davis', ""d'angelo russell"", 'lakers vs pelicans', 'nba all star break', 'nikola jokic mvp', 'nba mvp race', 'nba mvp', '2023 nba mvp', '2022-23 nba season', 'western conference']",2023-02-16T21:26:25Z,300431,3642.0,1248.0,,PT14M34S,hd,https://i.ytimg.com/vi/vqMvbCD2we8/hqdefault.jpg,299.3161315917969,0.3699715733528137,0.2662645876407623,3.0
