Unnamed: 0,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url,hue,saturation,lightness
372,kjjoC66-PLA,ARD Reisen,"Die Kanarischen Inseln – Teneriffa, Gran Canaria, Lanzarote, Fuerteventura und La Palma | ARD Reisen","['wdr reisen', 'urlaub', 'reisen', 'kanaren', 'doku kanaren', 'kanaren fähre', 'fähre kanaren', 'kanaren urlaub', 'auf den kanaren', 'kanaren corona', 'leben auf kanaren', 'kanaren vergleich', 'rentner auf kanaren', 'aussteigen kanaren', 'kanaren welche insel', 'kanarische inseln', 'kanarischen inseln', 'kanarische inseln urlaub', 'kanarische inseln la palma', 'kanarische inseln teneriffa', 'inseln', 'kanarische inseln urlaub tipps', 'insel', 'überwintern auf den kanarischen inseln', 'La Palma', 'Teneriffa', 'Lanzarote']",2022-11-06T08:30:10Z,567498,2540.0,205.0,,PT1H28M31S,hd,https://i.ytimg.com/vi/kjjoC66-PLA/hqdefault.jpg,23.610010147094727,0.42203256487846375,0.3743007183074951
373,yVusJHz_Vbc,ARD Reisen,Lüneburger Heide – Urlaub und Entspannung zwischen Heideblüten | Wunderschön | ARD Reisen,"['wdr', 'wdr doku', 'wunderschön', 'wdr wunderschön', 'judith rakers', 'lüneburger heide', 'heide', 'auf der lüneburger heide', 'lüneburger heide urlaub', 'sehenswürdigkeiten lüneburger heide', 'lünerburger heide', 'lüneburger heide tipps', 'urlaub lüneburger heide', 'ausflug lüneburger heide', 'camping lüneburger heide', 'wildpark lüneburger heide', 'film über lüneburger heide', 'naturpark lüneburger heide', 'lüneburger heide wanderweg', 'lüneburger heide blütezeit', 'radurlaub lüneburger heide', 'ard reisen']",2022-12-18T08:30:07Z,149409,1135.0,87.0,,PT1H28M52S,hd,https://i.ytimg.com/vi/yVusJHz_Vbc/hqdefault.jpg,27.427398681640625,0.39625516533851624,0.4443814158439636
374,uEKzIshoYiM,Insider Food,"How Traditional Italian Focaccia Bread Is Made In Genoa, Italy | Regional Eats","['genoa', 'italy', 'focaccia', 'UK Original Video', 'dinner', 'olive oil', 'INSIDER', 'FOOD INSIDER', 'snack', 'regional eats', 'breakfast', 'bread', 'lunch']",2020-07-08T16:02:25Z,2893767,48170.0,1677.0,,PT13M5S,hd,https://i.ytimg.com/vi/uEKzIshoYiM/hqdefault.jpg,196.44876098632812,0.26704561710357666,0.41384145617485046
375,yTye0qzbujE,SWR,Schlemmertour durchs Ländle - Regionale Küche in Baden-Württemberg | SWR Treffpunkt,"['Regionale Küche', 'Regionale Küche Treffpunkt', 'Regionale Küche Essen', 'Regionale Küche Schlemmertour', 'Regionale Küche Ratshausen', 'Regionale Küche Zollernalb-Kreis', 'Regionale Küche Grafenhausen', 'Regionale Küche Rezepte', 'Regionale Küche Ludwigsburg', 'Regionale Küche Pflugfelden', 'Regionale Küche Rottweil', 'Regionale Küche Wasserschloss Glatt', 'Regionale Küche Schwarzwälder Kirschtorte', 'Regionale Küche Baden-Württemberg', 'Regionale Küche Schwarzwald', 'bet:op=depub', 'bet:op=240']",2019-11-11T17:00:18Z,270645,1500.0,153.0,,PT29M58S,hd,https://i.ytimg.com/vi/yTye0qzbujE/hqdefault.jpg,228.02410888671875,0.5940948724746704,0.3819037973880768
376,FEYcD-RKAkw,ARD Reisen,Mit Nachtzug und Fähre von Stockholm ins finnische Lappland | ARD Reisen,"['wdr reisen', 'wdr', 'wdr doku', 'wdr reise', 'nachtzug', 'finnland', 'finland', 'nachtzug finnland', 'finnland doku', 'nachtzug doku', 'finnland urlaub tipps', 'visit finland', 'finnland zug', 'vlog finnland', 'weihnachtsmann finnland', 'vr nachtzug', 'weihnachtsmanndorf finnland', 'oulu finnland', 'finnland reisebericht', 'finnland tipps', 'finnland reise', 'finnland natur doku', 'who i am finnland', 'finland train', 'night train finland', 'finland overnight train', 'nighttrain', 'sleeper train finland', 'nightrain', 'Santa Claus']",2022-10-26T16:00:10Z,178593,3659.0,294.0,,PT15M7S,hd,https://i.ytimg.com/vi/FEYcD-RKAkw/hqdefault.jpg,36.62358474731445,0.4148904085159302,0.38629043102264404
377,PHeS4ZZ9l9A,Insider Food,US vs Japan 7-Eleven | Food Wars | Food Insider,"['INSIDER', 'FOOD INSIDER', 'food wars', 'food wars 7-11', 'food wars 711', '7-11', '711', 'calorie count', 'portion size', 'us vs japan', 'us vs japan food', '7-Eleven', 'united states', 'america', 'japan', 'us food', 'japan food']",2022-05-22T16:00:19Z,3527406,54648.0,2528.0,,PT38M8S,hd,https://i.ytimg.com/vi/PHeS4ZZ9l9A/hqdefault.jpg,308.3845520019531,0.2674892544746399,0.44301626086235046
378,OyxeqI6_xB0,SWR Eisenbahn-Romantik,Bahnabenteuer Iran,"['Dampflok', 'Schmalspurbahn', 'Dampf', 'Steam', 'engine', 'Zug', 'steam', 'locomotive', 'railroad', 'dampflokomotiven', 'railway', 'germany', 'coal', 'Паровозы', 'tank', 'Lok', 'Lokomotive', 'hd', 'definition', 'dampf', 'puffing', '蒸汽机车', 'vapeur', 'locomotiva', 'vapore', 'stoomlocomotief', 'locomotora', 'de vapor', 'dampfloks', 'dampfzug', 'old', 'alt', 'uralt', 'whistle', 'blowing', 'train', 'Dampflokomotive', 'rail', 'fan', 'Eisenbahnromantik', 'bahn', 'eisenbahn', 'trains', 'ferrocarril', 'deutsche', 'alte', 'Parní', 'lokomotivy', 'thomas', 'Bimmelbahn', 'station express', 'diesel', 'ww2', 'Iran']",2018-10-05T08:10:45Z,61865,771.0,95.0,,PT29M44S,hd,https://i.ytimg.com/vi/OyxeqI6_xB0/hqdefault.jpg,316.052001953125,0.1171126440167427,0.3553215563297272
379,A4Cl8MsO8Hg,ARD Reisen,Urlaub auf den Kapverden | ARD Reisen,"['kapverdische inseln', 'kapverden', 'sal kapverden', 'kapverden sal', 'kapverden urlaub', 'kapverden hiking', 'kapverden wandern', 'wandern kapverden', 'kapverden flugreise', 'kapverden reisebericht vlog', 'kapverde', 'badeurlaub kapverden strände', 'kapverden fogo', 'kapverden reise', 'capverden strand', 'kapverden inseln', 'urlaub kapverden', 'kapverden reisen', 'tui blue kapverden', 'kapverden strände', 'kapverden boa vista', 'kitespot kapverden', 'santiago kapverden', 'schildkröten', 'wasserschildkröten', 'ard reisen']",2022-12-21T17:00:10Z,174418,1006.0,109.0,,PT44M44S,hd,https://i.ytimg.com/vi/A4Cl8MsO8Hg/hqdefault.jpg,67.4188232421875,0.45603206753730774,0.3780006766319275
380,icc7QRNcqws,AIDA Kreuzfahrten,Der AIDAcosma Crewsong - We ❤️ to see you smile,"['AIDA', 'AIDA Cruises', 'Kreuzfahrt', 'Kreuzfahrten', 'Urlaub', 'Crewsong', 'AIDAcosma', 'Crew', 'We love to see you smile', 'Crew Song']",2022-03-04T19:08:27Z,324717,2409.0,143.0,,PT3M34S,hd,https://i.ytimg.com/vi/icc7QRNcqws/hqdefault.jpg,344.38946533203125,0.38443875312805176,0.37980473041534424
381,lgVYHvAy_68,Mein Schiff,"Mein Schiff 6 Neuerungen: Café Bar, Queens Kunstgalerie und vieles mehr | Mein Schiff","['TUI Cruises', 'Mein Schiff', 'TUI', 'TUI Cruises Mein Schiff', 'Mein Schiff Flotte', 'Wohlfühlschiffe', 'Wohlfühlkreuzfahrten', 'Kreuzfahrt', 'Mein Schiff Kreuzfahrten', 'TUI Kreuzfahrten', 'Wohlfühlziele', 'Kreuzfahrt Reiseziele', 'Kreuzfahrtschiffe', 'Erste Kreuzfahrt', 'Premium inklusive', 'Premiumleistungen', 'Inklusivleistungen', 'Nautik', 'Technik', 'Mein Schiff 6', 'Routen', 'Schiffsrouten', 'Neuerungen', 'Kunstgallerine', 'Innenraum', 'Neugestaltung']",2022-05-03T08:33:25Z,74184,456.0,51.0,,PT7M36S,hd,https://i.ytimg.com/vi/lgVYHvAy_68/hqdefault.jpg,17.395217895507812,0.23362867534160614,0.4145062565803528
